ID: 4 | Subject: Geografia | has_image: False | type: multiple_choice | Q: Os hemisférios da Terra são divididos por linhas imaginárias. Quais são os hemisférios principais?
ID: 6 | Subject: Geografia | has_image: False | type: multiple_choice | Q: Qual das opções apresenta apenas pontos colaterais?
ID: 8 | Subject: Geografia | has_image: False | type: multiple_choice | Q: Qual conjunto apresenta corretamente as camadas internas da Terra?
ID: 5 | Subject: Geografia | has_image: True | type: multiple_choice | Q: Quais são os quatro pontos cardeais?
ID: 26 | Subject: Geografia | has_image: True | type: multiple_choice | Q: Em qual ponto cardeal o Sol se põe?
ID: 27 | Subject: Geografia | has_image: True | type: multiple_choice | Q: Qual ponto colateral fica entre Norte e Leste?
ID: 24 | Subject: Geografia | has_image: True | type: multiple_choice | Q: Quais são os quatro pontos cardeais?
ID: 28 | Subject: Geografia | has_image: True | type: multiple_choice | Q: Qual ponto colateral fica entre Sul e Oeste?
ID: 13 | Subject: Geografia | has_image: True | type: multiple_choice | Q: Qual país da América do Sul tem como capital La Paz?
ID: 14 | Subject: Geografia | has_image: True | type: multiple_choice | Q: Quantos continentes existem na divisão mais comum estudada (América do Norte e do Sul separadas)?
ID: 25 | Subject: Geografia | has_image: True | type: multiple_choice | Q: Em qual ponto cardeal o Sol nasce?
ID: 428 | Subject: Matemática | has_image: False | type: multiple_choice | Q: Observe o ábaco e identifique o número representado.
ID: 259 | Subject: Matemática | has_image: True | type: multiple_choice | Q: Calcule: 6.951 + 5.069
ID: 268 | Subject: Matemática | has_image: True | type: multiple_choice | Q: Uma padaria vendeu 867 coxinhas e 1.538 pastéis. Quantos salgadinhos foram vendidos ao todo?
ID: 311 | Subject: Matemática | has_image: True | type: multiple_choice | Q: Calcule: 35 + 6
ID: 319 | Subject: Matemática | has_image: True | type: multiple_choice | Q: Calcule: 75 + 6
ID: 329 | Subject: Matemática | has_image: True | type: multiple_choice | Q: Calcule: 125 + 8
ID: 10 | Subject: Geografia | has_image: True | type: multiple_choice | Q: Qual é a capital do Chile?
